,units
2142,191.0
2143,8.0
2144,62.0
2145,3.0
2146,2.0
2147,1.0
2148,8.0
2149,2.0
2150,1.0
2151,3.0
2152,1.0
2153,1.0
2154,2.0
2155,1.0
2156,5.0
2157,10.0
2158,5.0
2159,23.0
2160,7.0
2161,2.0
2162,5.0
2163,10.0
2164,3.0
2165,8.0
2166,1.0
2167,3.0
2168,2.0
2169,2.0
2170,2.0
2171,2.0
2172,1.0
2173,5.0
2174,5.0
2175,1.0
2176,1.0
2177,1.0
2178,4.0
2179,2.0
2180,6.0
2181,2.0
2182,1.0
2183,2.0
2184,1.0
2185,1.0
2186,2.0
2187,4.0
2188,21.0
2189,20.0
2190,30.0
2191,1012.0
2192,3.0
2193,51.0
2194,89.0
2195,1.0
2196,1.0
2197,1.0
2198,5.0
2199,6.0
2200,37.0
2201,123.0
2202,460.0
2203,129.0
2204,5.0
2205,5.0
2206,47.0
2207,57.0
2208,13.0
2209,10.0
2210,1.0
2211,1.0
2212,1.0
2213,3.0
2214,3.0
2215,8.0
2216,9.0
2217,3.0
2218,1.0
2219,1.0
2220,4.0
2221,41.0
2222,330.0
2223,346.0
2224,93.0
2225,132.0
2226,1.0
2227,4.0
2228,1.0
2229,1.0
2230,4.0
2231,5.0
2232,2.0
2233,1.0
2234,1.0
2235,1.0
2236,10.0
2237,1.0
2238,1.0
2239,1.0
2240,1.0
2241,4.0
2242,1.0
2243,4.0
2244,3.0
2245,2.0
2246,2.0
2247,1.0
2248,2.0
2249,4.0
2250,1.0
2251,4.0
2252,22.0
2253,2.0
2254,2.0
2255,1.0
2256,7.0
2257,2.0
2258,2.0
2259,8.0
2260,3.0
2261,1.0
2262,3.0
2263,6.0
2264,1.0
2265,3.0
2266,2.0
2267,1.0
2268,3.0
2269,1.0
2270,1.0
2271,1.0
2272,1.0
2273,1.0
2274,1.0
2275,8.0
2276,1.0
2277,2.0
2278,1.0
2279,3.0
2280,5.0
2281,9.0
2282,1.0
2283,2.0
2284,10.0
2285,2.0
2286,3.0
2287,3.0
2288,1.0
2289,5.0
2290,7.0
2291,3.0
2292,15.0
2293,7.0
2294,2.0
2295,1.0
2296,3.0
2297,4.0
2298,12.0
2299,1.0
2300,1.0
2301,1.0
2302,9.0
2303,1.0
2304,4.0
2305,2.0
2306,2.0
2307,2.0
2308,1.0
2309,1.0
2310,1.0
2311,1.0
2312,1.0
2313,2.0
2314,1.0
2315,1.0
2316,1.0
2317,126.0
2318,51.0
2319,4.0
2320,9.0
2321,1.0
2322,16.0
2323,18.0
2324,8.0
2325,3.0
2326,3.0
2327,3.0
2328,3.0
2329,1.0
2330,7.0
2331,7.0
2332,25.0
2333,32.0
2334,20.0
2335,1.0
2336,21.0
2337,28.0
2338,1.0
2339,5.0
2340,1.0
2341,1.0
2342,2.0
2343,1.0
2344,3.0
2345,3.0
2346,1.0
2347,3.0
2348,1.0
2349,3.0
2350,1.0
2351,1.0
2352,2.0
2353,1.0
2354,1.0
2355,1.0
2356,4.0
2357,2.0
2358,1.0
2359,15.0
2360,12.0
2361,3.0
2362,2.0
2363,1.0
2364,1.0
2365,2.0
2366,1.0
2367,4.0
2368,2.0
2369,1.0
2370,1.0
2371,2.0
2372,2.0
2373,1.0
2374,1.0
2375,1.0
2376,1.0
2377,1.0
2378,1.0
2379,1.0
2380,1.0
2381,1.0
2382,1.0
2383,4.0
2384,3.0
2385,7.0
2386,3.0
2387,1.0
2388,1.0
2389,15.0
2390,12.0
2391,1.0
2392,4.0
2393,1.0
2394,7.0
2395,57.0
2396,78.0
2397,21.0
2398,5.0
2399,3.0
2400,3.0
2401,2.0
2402,1.0
2403,2.0
2404,1.0
2405,2.0
2406,2.0
2407,13.0
2408,4.0
2409,9.0
2410,2.0
2411,7.0
2412,1.0
2413,3.0
2414,3.0
2415,2.0
2416,2.0
2417,1.0
2418,1.0
2419,1.0
2420,4.0
2421,1.0
2422,1.0
2423,2.0
2424,1.0
2425,3.0
2426,4.0
2427,1.0
2428,3.0
2429,7.0
2430,1.0
2431,1.0
2432,1.0
2433,1.0
2434,1.0
2435,5.0
2436,7.0
2437,3.0
2438,2.0
2439,2.0
2440,5.0
2441,6.0
2442,14.0
2443,7.0
2444,5.0
2445,1.0
2446,3.0
2447,2.0
2448,23.0
2449,1.0
2450,2.0
2451,1.0
2452,3.0
2453,1.0
2454,1.0
2455,3.0
2456,1.0
2457,2.0
2458,6.0
2459,14.0
2460,7.0
2461,4.0
2462,3.0
2463,4.0
2464,1.0
2465,1.0
2466,3.0
2467,15.0
2468,15.0
2469,8.0
2470,10.0
2471,3.0
2472,2.0
2473,2.0
2474,2.0
2475,12.0
2476,35.0
2477,21.0
2478,4.0
2479,25.0
2480,1.0
2481,19.0
2482,25.0
2483,8.0
2484,9.0
2485,1.0
2486,5.0
2487,4.0
2488,2.0
2489,2.0
2490,2.0
2491,4.0
2492,2.0
2493,1.0
2494,1.0
2495,1.0
2496,2.0
2497,4.0
2498,2.0
2499,2.0
2500,1.0
2501,1.0
2502,2.0
2503,1.0
2504,1.0
2505,2.0
2506,3.0
2507,2.0
2508,8.0
2509,5.0
2510,6.0
2511,2.0
2512,4.0
2513,11.0
2514,8.0
2515,2.0
2516,7.0
2517,1.0
2518,1.0
2519,1.0
2520,1.0
2521,1.0
2522,1.0
2523,1.0
2524,11.0
2525,20.0
2526,20.0
2527,15.0
2528,9.0
2529,2.0
2530,12.0
2531,2.0
2532,1.0
2533,1.0
2534,1.0
2535,6.0
2536,1.0
2537,1.0
2538,1.0
2539,6.0
2540,16.0
2541,8.0
2542,2.0
2543,1.0
2544,1.0
2545,1.0
2546,2.0
2547,2.0
2548,12.0
2549,31.0
2550,94.0
2551,25.0
2552,1.0
2553,3.0
2554,7.0
2555,8.0
2556,10.0
2557,22.0
2558,24.0
2559,4.0
2560,15.0
2561,1.0
2562,1.0
2563,2.0
2564,2.0
2565,1.0
2566,1.0
2567,1.0
2568,3.0
2569,11.0
2570,18.0
2571,6.0
2572,6.0
2573,3.0
2574,5.0
2575,2.0
2576,3.0
2577,2.0
2578,1.0
2579,2.0
2580,4.0
2581,1.0
2582,1.0
2583,1.0
2584,3.0
2585,4.0
2586,1.0
2587,1.0
2588,1.0
2589,1.0
2590,2.0
2591,1.0
2592,2.0
2593,1.0
2594,3.0
2595,8.0
2596,6.0
2597,9.0
2598,4.0
2599,6.0
2600,4.0
2601,2.0
2602,2.0
2603,1.0
2604,9.0
2605,1.0
2606,1.0
2607,2.0
2608,2.0
2609,1.0
2610,2.0
2611,3.0
2612,3.0
2613,1.0
2614,1.0
2615,7.0
2616,1.0
2617,2.0
2618,1.0
2619,1.0
2620,1.0
2621,1.0
2622,3.0
2623,6.0
2624,3.0
2625,1.0
2626,1.0
2627,1.0
2628,1.0
2629,3.0
2630,2.0
2631,3.0
2632,4.0
2633,4.0
2634,5.0
2635,5.0
2636,2.0
2637,1.0
2638,3.0
2639,1.0
2640,1.0
2641,3.0
2642,9.0
2643,9.0
2644,18.0
2645,15.0
2646,5.0
2647,5.0
2648,15.0
2649,7.0
2650,3.0
2651,1.0
2652,1.0
2653,1.0
2654,2.0
2655,1.0
2656,4.0
2657,1.0
2658,1.0
2659,1.0
2660,1.0
2661,1.0
2662,3.0
2663,1.0
2664,2.0
2665,3.0
2666,1.0
2667,1.0
2668,1.0
2669,1.0
2670,2.0
2671,2.0
2672,1.0
2673,1.0
2674,1.0
2675,2.0
2676,1.0
2677,4.0
2678,4.0
2679,1.0
2680,5.0
2681,1.0
2682,2.0
2683,14.0
2684,22.0
2685,14.0
2686,4.0
2687,1.0
2688,2.0
2689,1.0
2690,1.0
2691,3.0
2692,1.0
2693,4.0
2694,2.0
2695,4.0
2696,1.0
2697,1.0
2698,1.0
2699,1.0
2700,1.0
2701,8.0
2702,42.0
2703,31.0
2704,14.0
2705,7.0
2706,2.0
2707,16.0
2708,124.0
2709,61.0
2710,15.0
2711,28.0
2712,2.0
2713,8.0
2714,5.0
2715,1.0
2716,1.0
2717,2.0
2718,2.0
2719,2.0
2720,2.0
2721,17.0
2722,10.0
2723,7.0
2724,1.0
2725,58.0
2726,54.0
2727,26.0
2728,1.0
2729,1.0
2730,5.0
2731,8.0
2732,4.0
2733,35.0
2734,1.0
2735,1.0
2736,2.0
2737,2.0
2738,8.0
2739,3.0
2740,6.0
2741,4.0
2742,6.0
2743,2.0
2744,2.0
2745,2.0
2746,3.0
2747,2.0
2748,5.0
2749,35.0
2750,52.0
2751,7.0
2752,9.0
2753,9.0
2754,6.0
2755,1.0
2756,1.0
2757,9.0
2758,55.0
2759,47.0
2760,14.0
2761,24.0
2762,3.0
2763,4.0
2764,7.0
2765,7.0
2766,86.0
2767,23.0
2768,9.0
2769,23.0
2770,1.0
2771,1.0
2772,2.0
2773,1.0
2774,1.0
2775,2.0
2776,4.0
2777,4.0
2778,2.0
2779,4.0
2780,7.0
2781,2.0
2782,1.0
2783,1.0
2784,1.0
2785,1.0
2786,2.0
2787,2.0
2788,1.0
2789,7.0
2790,6.0
2791,2.0
2792,10.0
2793,2.0
2794,1.0
2795,1.0
2796,6.0
2797,4.0
2798,1.0
2799,3.0
2800,11.0
2801,2.0
2802,4.0
2803,2.0
2804,16.0
2805,1.0
2806,2.0
2807,5.0
2808,10.0
2809,2.0
2810,10.0
2811,23.0
2812,7.0
2813,3.0
2814,1.0
2815,3.0
2816,12.0
2817,4.0
2818,1.0
2819,6.0
2820,2.0
2821,15.0
2822,1.0
2823,1.0
2824,2.0
2825,3.0
2826,8.0
2827,89.0
2828,95.0
2829,20.0
2830,35.0
2831,2.0
2832,4.0
2833,4.0
2834,1.0
2835,2.0
2836,9.0
2837,1.0
2838,1.0
2839,2.0
2840,2.0
2841,2.0
2842,2.0
2843,2.0
2844,2.0
2845,3.0
2846,1.0
2847,10.0
2848,2.0
2849,2.0
2850,6.0
2851,1.0
2852,1.0
2853,14.0
2854,21.0
2855,6.0
2856,2.0
2857,3.0
2858,1.0
2859,5.0
2860,9.0
2861,1.0
2862,1.0
2863,13.0
2864,8.0
2865,5.0
2866,10.0
2867,5.0
2868,3.0
2869,1.0
2870,1.0
2871,3.0
2872,1.0
2873,4.0
2874,1.0
2875,2.0
2876,1.0
2877,37.0
2878,67.0
2879,20.0
2880,8.0
2881,1.0
2882,1.0
2883,1.0
2884,21.0
2885,17.0
2886,13.0
2887,1.0
2888,3.0
2889,1.0
2890,10.0
2891,10.0
2892,3.0
2893,1.0
2894,1.0
2895,4.0
2896,8.0
2897,3.0
2898,1.0
2899,1.0
2900,1.0
2901,3.0
2902,1.0
2903,2.0
2904,1.0
2905,2.0
2906,1.0
2907,2.0
2908,27.0
2909,49.0
2910,4.0
2911,3.0
2912,1.0
2913,1.0
2914,1.0
2915,1.0
2916,2.0
2917,2.0
2918,4.0
2919,29.0
2920,23.0
2921,1.0
2922,3.0
2923,45.0
2924,45.0
2925,7.0
2926,15.0
2927,2.0
2928,1.0
2929,1.0
2930,1.0
2931,1.0
2932,1.0
2933,1.0
2934,1.0
2935,1.0
2936,2.0
2937,3.0
2938,3.0
2939,6.0
2940,9.0
2941,2.0
2942,1.0
2943,4.0
2944,5.0
2945,3.0
2946,6.0
2947,2.0
2948,1.0
2949,1.0
2950,2.0
2951,12.0
2952,10.0
2953,3.0
2954,20.0
2955,2.0
2956,1.0
2957,1.0
2958,1.0
2959,2.0
2960,1.0
2961,1.0
2962,5.0
2963,9.0
2964,7.0
2965,7.0
2966,3.0
2967,3.0
2968,1.0
2969,2.0
2970,9.0
2971,1.0
2972,8.0
2973,1.0
2974,2.0
2975,1.0
2976,3.0
2977,4.0
2978,5.0
2979,4.0
2980,4.0
2981,1.0
2982,2.0
2983,5.0
2984,3.0
2985,5.0
2986,9.0
2987,7.0
2988,5.0
2989,2.0
2990,14.0
2991,105.0
2992,148.0
2993,59.0
2994,17.0
2995,1.0
2996,4.0
2997,4.0
2998,6.0
2999,8.0
3000,5.0
3001,16.0
3002,11.0
3003,6.0
3004,9.0
3005,5.0
3006,3.0
3007,1.0
3008,2.0
3009,1.0
3010,1.0
3011,1.0
3012,1.0
3013,1.0
3014,1.0
3015,1.0
3016,1.0
3017,1.0
3018,6.0
3019,1.0
3020,2.0
3021,1.0
3022,1.0
3023,3.0
3024,3.0
3025,1.0
3026,3.0
3027,2.0
3028,3.0
3029,1.0
3030,9.0
3031,99.0
3032,86.0
3033,31.0
3034,45.0
3035,2.0
3036,1.0
3037,3.0
3038,2.0
3039,4.0
3040,14.0
3041,10.0
3042,5.0
3043,6.0
3044,2.0
3045,4.0
3046,3.0
3047,6.0
3048,2.0
3049,2.0
3050,2.0
3051,4.0
3052,3.0
3053,1.0
3054,12.0
3055,59.0
3056,199.0
3057,30.0
3058,5.0
3059,9.0
3060,10.0
3061,4.0
3062,11.0
3063,2.0
3064,1.0
3065,48.0
3066,1.0
3067,3.0
3068,3.0
3069,4.0
3070,8.0
3071,12.0
3072,3.0
3073,1.0
3074,1.0
3075,2.0
3076,1.0
3077,2.0
3078,1.0
3079,3.0
3080,2.0
3081,1.0
3082,3.0
3083,3.0
3084,1.0
3085,1.0
3086,1.0
3087,1.0
3088,15.0
3089,13.0
3090,5.0
3091,1.0
3092,1.0
3093,1.0
3094,8.0
3095,12.0
3096,3.0
3097,2.0
3098,1.0
3099,6.0
3100,26.0
3101,10.0
3102,1.0
3103,1.0
3104,1.0
3105,3.0
3106,3.0
3107,1.0
3108,3.0
3109,13.0
3110,4.0
3111,3.0
3112,26.0
3113,3.0
3114,4.0
3115,2.0
3116,2.0
3117,1.0
3118,3.0
3119,2.0
3120,1.0
3121,1.0
3122,3.0
3123,1.0
3124,3.0
3125,6.0
3126,2.0
3127,2.0
3128,14.0
3129,1.0
3130,2.0
3131,1.0
3132,3.0
3133,3.0
3134,1.0
3135,2.0
3136,6.0
3137,7.0
3138,3.0
3139,1.0
3140,1.0
3141,2.0
3142,2.0
3143,3.0
3144,1.0
3145,7.0
3146,5.0
3147,1.0
3148,1.0
3149,1.0
3150,4.0
3151,2.0
3152,1.0
3153,2.0
3154,3.0
3155,10.0
3156,9.0
3157,20.0
3158,25.0
3159,55.0
3160,81.0
3161,38.0
3162,58.0
3163,5.0
3164,1.0
3165,4.0
3166,1.0
3167,1.0
3168,10.0
3169,1.0
3170,1.0
3171,1.0
3172,1.0
3173,4.0
3174,5.0
3175,1.0
3176,4.0
3177,4.0
3178,4.0
3179,2.0
3180,2.0
3181,1.0
3182,1.0
3183,1.0
3184,25.0
3185,29.0
3186,6.0
3187,10.0
3188,2.0
3189,17.0
3190,36.0
3191,22.0
3192,4.0
3193,3.0
3194,2.0
3195,2.0
3196,2.0
3197,2.0
3198,7.0
3199,31.0
3200,19.0
3201,17.0
3202,2.0
3203,14.0
3204,17.0
3205,2.0
3206,2.0
3207,1.0
3208,2.0
3209,2.0
3210,2.0
3211,1.0
3212,7.0
3213,3.0
3214,3.0
3215,1.0
3216,1.0
3217,1.0
3218,1.0
3219,1.0
3220,1.0
3221,1.0
3222,1.0
3223,1.0
3224,1.0
3225,1.0
3226,23.0
3227,41.0
3228,15.0
3229,1.0
3230,1.0
3231,1.0
3232,1.0
3233,3.0
3234,7.0
3235,64.0
3236,57.0
3237,36.0
3238,42.0
3239,2.0
3240,1.0
3241,1.0
3242,2.0
3243,10.0
3244,3.0
3245,15.0
3246,6.0
3247,3.0
3248,6.0
3249,4.0
3250,13.0
3251,11.0
3252,6.0
3253,4.0
3254,2.0
3255,1.0
3256,4.0
3257,15.0
3258,15.0
3259,8.0
3260,10.0
3261,11.0
3262,4.0
3263,5.0
3264,1.0
3265,3.0
3266,24.0
3267,8.0
3268,1.0
3269,3.0
3270,1.0
3271,1.0
3272,2.0
3273,1.0
3274,4.0
3275,4.0
3276,1.0
3277,1.0
3278,2.0
3279,1.0
3280,1.0
3281,1.0
3282,1.0
3283,2.0
3284,3.0
3285,1.0
3286,1.0
3287,4.0
3288,5.0
3289,2.0
3290,2.0
3291,1.0
3292,4.0
3293,1.0
3294,3.0
3295,16.0
3296,16.0
3297,10.0
3298,3.0
3299,2.0
3300,3.0
3301,8.0
3302,6.0
3303,6.0
3304,6.0
3305,10.0
3306,4.0
3307,8.0
3308,4.0
3309,1.0
3310,2.0
3311,4.0
3312,3.0
3313,14.0
3314,8.0
3315,5.0
3316,2.0
3317,1.0
3318,1.0
3319,2.0
3320,1.0
3321,2.0
3322,18.0
3323,33.0
3324,15.0
3325,4.0
3326,1.0
3327,1.0
3328,5.0
3329,1.0
3330,1.0
3331,1.0
3332,1.0
3333,3.0
3334,3.0
3335,1.0
3336,2.0
3337,1.0
3338,6.0
3339,3.0
3340,3.0
3341,5.0
3342,2.0
3343,1.0
3344,1.0
3345,1.0
3346,2.0
3347,13.0
3348,20.0
3349,5.0
3350,1.0
3351,1.0
3352,2.0
3353,1.0
3354,1.0
3355,3.0
3356,1.0
3357,5.0
3358,3.0
3359,1.0
3360,1.0
3361,2.0
3362,2.0
3363,2.0
3364,2.0
3365,3.0
3366,2.0
3367,7.0
3368,5.0
3369,1.0
3370,4.0
3371,8.0
3372,15.0
3373,1.0
3374,3.0
3375,2.0
3376,1.0
3377,25.0
3378,11.0
3379,1.0
3380,4.0
3381,1.0
3382,1.0
3383,1.0
3384,1.0
3385,1.0
3386,2.0
3387,70.0
3388,48.0
3389,4.0
3390,11.0
3391,1.0
3392,19.0
3393,14.0
3394,26.0
3395,11.0
3396,179.0
3397,77.0
3398,62.0
3399,1.0
3400,3.0
3401,16.0
3402,22.0
3403,9.0
3404,9.0
3405,3.0
3406,3.0
3407,6.0
3408,7.0
3409,2.0
3410,3.0
3411,5.0
3412,1.0
3413,3.0
3414,5.0
3415,4.0
3416,5.0
3417,2.0
3418,1.0
3419,1.0
3420,1.0
3421,2.0
3422,2.0
3423,9.0
3424,1.0
3425,1.0
3426,1.0
3427,1.0
3428,1.0
3429,3.0
3430,4.0
3431,6.0
3432,5.0
3433,2.0
3434,2.0
3435,1.0
3436,61.0
3437,11.0
3438,18.0
3439,9.0
3440,1.0
3441,1.0
3442,2.0
3443,1.0
3444,4.0
3445,7.0
3446,4.0
3447,4.0
3448,15.0
3449,18.0
3450,10.0
3451,9.0
3452,7.0
3453,2.0
3454,8.0
3455,1.0
3456,2.0
3457,5.0
3458,3.0
3459,1.0
3460,1.0
3461,4.0
3462,22.0
3463,7.0
3464,10.0
3465,8.0
3466,1.0
3467,1.0
3468,1.0
3469,1.0
3470,1.0
3471,1.0
3472,1.0
3473,1.0
3474,1.0
3475,1.0
3476,1.0
3477,2.0
3478,1.0
3479,1.0
3480,3.0
3481,40.0
3482,6.0
3483,2.0
3484,1.0
3485,7.0
3486,2.0
3487,7.0
3488,2.0
3489,1.0
3490,1.0
3491,8.0
3492,1.0
3493,1.0
3494,2.0
3495,1.0
3496,1.0
3497,1.0
3498,1.0
3499,1.0
3500,2.0
3501,1.0
3502,14.0
3503,5.0
3504,5.0
3505,3.0
3506,17.0
3507,26.0
3508,10.0
3509,9.0
3510,2.0
3511,2.0
3512,1.0
3513,7.0
3514,13.0
3515,16.0
3516,1.0
3517,2.0
3518,1.0
3519,2.0
3520,2.0
3521,3.0
3522,4.0
3523,10.0
3524,9.0
3525,4.0
3526,4.0
3527,1.0
3528,5.0
3529,4.0
3530,7.0
3531,10.0
3532,4.0
3533,5.0
3534,3.0
3535,2.0
3536,6.0
3537,5.0
3538,1.0
3539,1.0
3540,3.0
3541,3.0
3542,3.0
3543,1.0
3544,3.0
3545,1.0
3546,1.0
3547,1.0
3548,1.0
3549,3.0
3550,2.0
3551,3.0
3552,1.0
3553,1.0
3554,20.0
3555,28.0
3556,12.0
3557,12.0
3558,12.0
3559,19.0
3560,39.0
3561,89.0
3562,22.0
3563,1.0
3564,4.0
3565,2.0
3566,1.0
3567,11.0
3568,5.0
3569,7.0
3570,7.0
3571,8.0
3572,70.0
3573,45.0
3574,9.0
3575,17.0
3576,2.0
3577,1.0
3578,29.0
3579,22.0
3580,2.0
3581,8.0
3582,1.0
3583,2.0
3584,1.0
3585,11.0
3586,10.0
3587,4.0
3588,6.0
3589,1.0
3590,1.0
3591,2.0
3592,1.0
3593,1.0
3594,2.0
3595,13.0
3596,16.0
3597,10.0
3598,8.0
3599,1.0
3600,1.0
3601,1.0
3602,1.0
3603,1.0
3604,1.0
3605,1.0
3606,1.0
3607,3.0
3608,1.0
3609,2.0
3610,1.0
3611,1.0
3612,1.0
3613,1.0
3614,2.0
3615,3.0
3616,1.0
3617,1.0
3618,1.0
3619,2.0
3620,1.0
3621,2.0
3622,1.0
3623,1.0
3624,1.0
3625,2.0
3626,1.0
3627,2.0
3628,2.0
3629,1.0
3630,2.0
3631,1.0
3632,1.0
3633,1.0
3634,2.0
3635,1.0
3636,7.0
3637,1.0
3638,2.0
3639,5.0
3640,1.0
3641,1.0
3642,1.0
3643,1.0
3644,2.0
3645,1.0
3646,43.0
3647,41.0
3648,8.0
3649,14.0
3650,2.0
3651,3.0
3652,3.0
3653,6.0
3654,3.0
3655,9.0
3656,10.0
3657,3.0
3658,1.0
3659,19.0
3660,22.0
3661,4.0
3662,4.0
3663,1.0
3664,1.0
3665,3.0
3666,2.0
3667,3.0
3668,2.0
3669,1.0
3670,2.0
3671,1.0
3672,1.0
3673,1.0
3674,2.0
3675,1.0
3676,2.0
3677,1.0
3678,2.0
3679,1.0
3680,2.0
3681,2.0
3682,1.0
3683,1.0
3684,20.0
3685,21.0
3686,2.0
3687,6.0
3688,4.0
3689,8.0
3690,2.0
3691,3.0
3692,3.0
3693,2.0
3694,1.0
3695,3.0
3696,5.0
3697,3.0
3698,4.0
3699,2.0
3700,1.0
3701,5.0
3702,1.0
3703,1.0
3704,1.0
3705,1.0
3706,2.0
3707,3.0
3708,1.0
3709,1.0
3710,4.0
3711,2.0
3712,9.0
3713,5.0
3714,3.0
3715,2.0
3716,6.0
3717,8.0
3718,7.0
3719,3.0
3720,7.0
3721,10.0
3722,11.0
3723,10.0
3724,8.0
3725,6.0
3726,3.0
3727,1.0
3728,3.0
3729,1.0
3730,5.0
3731,24.0
3732,12.0
3733,2.0
3734,66.0
3735,44.0
3736,9.0
3737,20.0
3738,53.0
3739,35.0
3740,1.0
3741,1.0
3742,1.0
3743,2.0
3744,1.0
3745,2.0
3746,2.0
3747,2.0
3748,2.0
3749,157.0
3750,85.0
3751,5.0
3752,29.0
3753,3.0
3754,1.0
3755,2.0
3756,5.0
3757,6.0
3758,5.0
3759,2.0
3760,1.0
3761,1.0
3762,1.0
3763,3.0
3764,2.0
3765,1.0
3766,8.0
3767,1.0
3768,8.0
3769,4.0
3770,5.0
3771,10.0
3772,6.0
3773,2.0
3774,2.0
3775,9.0
3776,12.0
3777,3.0
3778,10.0
3779,10.0
3780,11.0
3781,1.0
3782,1.0
3783,3.0
3784,1.0
3785,1.0
3786,1.0
3787,31.0
3788,3.0
3789,1.0
3790,1.0
3791,1.0
3792,3.0
3793,22.0
3794,53.0
3795,194.0
3796,45.0
3797,1.0
3798,8.0
3799,4.0
3800,3.0
3801,1.0
3802,1.0
3803,1.0
3804,2.0
3805,1.0
3806,3.0
3807,1.0
3808,1.0
3809,5.0
3810,3.0
3811,2.0
3812,1.0
3813,26.0
3814,25.0
3815,11.0
3816,10.0
3817,2.0
3818,12.0
3819,12.0
3820,8.0
3821,9.0
3822,1.0
3823,1.0
3824,7.0
3825,15.0
3826,1.0
3827,8.0
3828,2.0
3829,2.0
3830,4.0
3831,9.0
3832,7.0
3833,1.0
3834,1.0
3835,2.0
3836,4.0
3837,14.0
3838,20.0
3839,3.0
3840,2.0
3841,3.0
3842,1.0
3843,17.0
3844,21.0
3845,2.0
3846,6.0
3847,1.0
3848,1.0
3849,53.0
3850,53.0
3851,21.0
3852,6.0
3853,2.0
3854,4.0
3855,3.0
3856,4.0
3857,2.0
3858,2.0
3859,2.0
3860,16.0
3861,15.0
3862,9.0
3863,2.0
3864,9.0
3865,1.0
3866,3.0
3867,3.0
3868,6.0
3869,1.0
3870,1.0
3871,1.0
3872,2.0
3873,13.0
3874,1.0
3875,4.0
3876,2.0
3877,1.0
3878,2.0
3879,1.0
3880,2.0
3881,2.0
3882,1.0
3883,1.0
3884,50.0
3885,2.0
3886,1.0
3887,1.0
3888,1.0
3889,2.0
3890,3.0
3891,3.0
3892,4.0
3893,1.0
3894,1.0
3895,1.0
3896,28.0
3897,216.0
3898,134.0
3899,48.0
3900,73.0
3901,2.0
3902,15.0
3903,4.0
3904,1.0
3905,1.0
3906,2.0
3907,1.0
3908,1.0
3909,4.0
3910,1.0
3911,3.0
3912,1.0
3913,2.0
3914,2.0
3915,9.0
3916,4.0
3917,1.0
3918,5.0
3919,33.0
3920,65.0
3921,20.0
3922,12.0
3923,1.0
3924,2.0
3925,4.0
3926,1.0
3927,11.0
3928,13.0
3929,2.0
3930,1.0
3931,1.0
3932,2.0
3933,2.0
3934,16.0
3935,17.0
3936,7.0
3937,1.0
3938,1.0
3939,6.0
3940,2.0
3941,1.0
3942,4.0
3943,1.0
3944,1.0
3945,6.0
3946,13.0
3947,1.0
3948,1.0
3949,2.0
3950,4.0
3951,1.0
3952,7.0
3953,2.0
3954,1.0
3955,1.0
3956,5.0
3957,3.0
3958,1.0
3959,5.0
3960,2.0
3961,1.0
3962,3.0
3963,1.0
3964,2.0
3965,1.0
3966,2.0
3967,1.0
3968,1.0
3969,24.0
3970,15.0
3971,11.0
3972,4.0
3973,3.0
3974,2.0
3975,5.0
3976,3.0
3977,2.0
3978,1.0
3979,2.0
3980,6.0
3981,1.0
3982,1.0
3983,2.0
3984,2.0
3985,1.0
3986,5.0
3987,5.0
3988,16.0
3989,4.0
3990,2.0
3991,4.0
3992,6.0
3993,2.0
3994,3.0
3995,1.0
3996,1.0
3997,1.0
3998,1.0
3999,21.0
4000,9.0
4001,5.0
4002,17.0
4003,3.0
4004,2.0
4005,10.0
4006,1.0
4007,3.0
4008,2.0
4009,12.0
4010,13.0
4011,3.0
4012,1.0
4013,1.0
4014,12.0
4015,56.0
4016,79.0
4017,18.0
4018,27.0
4019,3.0
4020,13.0
4021,18.0
4022,4.0
4023,2.0
4024,1.0
4025,1.0
4026,15.0
4027,3.0
4028,2.0
4029,2.0
4030,6.0
4031,7.0
4032,1.0
4033,2.0
4034,2.0
4035,3.0
4036,1.0
4037,1.0
4038,2.0
4039,1.0
4040,1.0
4041,1.0
4042,1.0
4043,1.0
4044,2.0
4045,2.0
4046,4.0
4047,1.0
4048,1.0
4049,1.0
4050,5.0
4051,1.0
4052,5.0
4053,2.0
4054,1.0
4055,4.0
4056,1.0
4057,2.0
4058,1.0
4059,1.0
4060,1.0
4061,1.0
4062,1.0
4063,3.0
4064,6.0
4065,1.0
4066,3.0
4067,4.0
4068,1.0
4069,1.0
4070,1.0
4071,2.0
4072,11.0
4073,18.0
4074,9.0
4075,3.0
4076,1.0
4077,2.0
4078,3.0
4079,1.0
4080,2.0
4081,1.0
4082,2.0
4083,2.0
4084,3.0
4085,5.0
4086,3.0
4087,1.0
4088,1.0
4089,1.0
4090,8.0
4091,5.0
4092,9.0
4093,10.0
4094,5.0
4095,5.0
4096,2.0
4097,1.0
4098,1.0
4099,4.0
4100,5.0
4101,1.0
4102,1.0
4103,1.0
4104,4.0
4105,6.0
4106,2.0
4107,1.0
4108,4.0
4109,1.0
4110,2.0
4111,3.0
4112,2.0
4113,2.0
4114,2.0
4115,3.0
4116,5.0
4117,1.0
4118,1.0
4119,1.0
4120,7.0
4121,5.0
4122,2.0
4123,1.0
4124,3.0
4125,3.0
4126,6.0
4127,5.0
4128,3.0
4129,3.0
4130,2.0
4131,3.0
4132,2.0
4133,6.0
4134,63.0
4135,108.0
4136,49.0
4137,35.0
4138,1.0
4139,1.0
4140,12.0
