,units,date
2362,2.0,2018-01-07
2363,1.0,2018-01-28
2364,1.0,2018-01-30
2365,2.0,2018-01-28
2366,1.0,2018-01-12
2367,4.0,2018-01-30
2368,2.0,2018-01-24
2369,1.0,2018-01-12
2370,1.0,2018-01-08
2371,2.0,2018-01-18
2372,2.0,2018-01-19
2373,1.0,2018-01-24
2374,1.0,2018-01-13
2375,1.0,2018-01-05
2376,1.0,2018-01-06
2377,1.0,2018-01-10
2378,1.0,2018-01-23
2379,1.0,2018-01-12
2380,1.0,2018-01-29
2381,1.0,2018-01-07
2382,1.0,2018-01-28
2383,4.0,2018-01-31
2384,3.0,2018-01-31
2385,7.0,2018-01-31
2386,3.0,2018-01-31
2387,1.0,2018-01-30
2388,1.0,2018-01-25
2389,15.0,2018-01-31
2390,12.0,2018-01-31
2391,1.0,2018-01-16
2392,4.0,2018-01-31
2393,1.0,2018-01-10
2394,7.0,2018-01-31
2395,57.0,2018-01-31
2396,78.0,2018-01-31
2397,21.0,2018-01-31
2398,5.0,2018-01-22
2399,3.0,2018-01-14
2400,3.0,2018-01-28
2401,2.0,2018-01-23
2402,1.0,2018-01-30
2403,2.0,2018-01-25
2404,1.0,2018-01-22
2405,2.0,2018-01-24
2406,2.0,2018-01-31
2407,13.0,2018-01-29
2408,4.0,2018-01-24
2409,9.0,2018-01-24
2410,2.0,2018-01-26
2411,7.0,2018-01-31
2412,1.0,2018-01-22
2413,3.0,2018-01-29
2414,3.0,2018-01-16
2415,2.0,2018-01-09
2416,2.0,2018-01-15
2417,1.0,2018-01-27
2418,1.0,2018-01-31
2419,1.0,2018-01-15
2420,4.0,2018-01-30
2421,1.0,2018-01-31
2422,1.0,2018-01-30
2423,2.0,2018-01-25
2424,1.0,2018-01-23
2425,3.0,2018-01-31
2426,4.0,2018-01-31
2427,1.0,2018-01-21
2428,3.0,2018-01-29
2429,7.0,2018-01-31
2430,1.0,2018-01-31
2431,1.0,2018-01-24
2432,1.0,2018-01-06
2433,1.0,2018-01-10
2434,1.0,2018-01-04
2435,5.0,2018-01-22
2436,7.0,2018-01-31
2437,3.0,2018-01-29
2438,2.0,2018-01-30
2439,2.0,2018-01-14
2440,5.0,2018-01-24
2441,6.0,2018-01-31
2442,14.0,2018-01-31
2443,7.0,2018-01-22
2444,5.0,2018-01-25
2445,1.0,2018-01-08
2446,3.0,2018-01-25
2447,2.0,2018-01-27
2448,23.0,2018-01-31
2449,1.0,2018-01-09
2450,2.0,2018-01-11
2451,1.0,2018-01-04
2452,3.0,2018-01-26
2453,1.0,2018-01-20
2454,1.0,2018-01-19
2455,3.0,2018-01-30
2456,1.0,2018-01-31
2457,2.0,2018-01-30
2458,6.0,2018-01-30
2459,14.0,2018-01-31
2460,7.0,2018-01-31
2461,4.0,2018-01-31
2462,3.0,2018-01-28
2463,4.0,2018-01-27
2464,1.0,2018-01-12
2465,1.0,2018-01-10
2466,3.0,2018-01-31
2467,15.0,2018-01-31
2468,15.0,2018-01-31
2469,8.0,2018-01-31
2470,10.0,2018-01-31
2471,3.0,2018-01-31
2472,2.0,2018-01-28
2473,2.0,2018-01-24
2474,2.0,2018-01-22
2475,12.0,2018-01-22
2476,35.0,2018-01-31
2477,21.0,2018-01-22
2478,4.0,2018-01-19
2479,25.0,2018-01-22
2480,1.0,2018-01-23
2481,19.0,2018-01-31
2482,25.0,2018-01-29
2483,8.0,2018-01-31
2484,9.0,2018-01-24
2485,1.0,2018-01-30
2486,5.0,2018-01-31
2487,4.0,2018-01-30
2488,2.0,2018-01-09
2489,2.0,2018-01-30
2490,2.0,2018-01-23
2491,4.0,2018-01-18
2492,2.0,2018-01-21
2493,1.0,2018-01-13
2494,1.0,2018-01-22
2495,1.0,2018-01-17
2496,2.0,2018-01-28
2497,4.0,2018-01-28
2498,2.0,2018-01-12
2499,2.0,2018-01-24
2500,1.0,2018-01-23
2501,1.0,2018-01-13
2502,2.0,2018-01-25
2503,1.0,2018-01-07
2504,1.0,2018-01-28
2505,2.0,2018-01-29
2506,3.0,2018-01-15
2507,2.0,2018-01-27
2508,8.0,2018-01-28
2509,5.0,2018-01-28
2510,6.0,2018-01-18
2511,2.0,2018-01-30
2512,4.0,2018-01-24
2513,11.0,2018-01-25
2514,8.0,2018-01-24
2515,2.0,2018-01-17
2516,7.0,2018-01-24
2517,1.0,2018-01-01
2518,1.0,2018-01-24
2519,1.0,2018-01-17
2520,1.0,2018-01-31
2521,1.0,2018-01-31
2522,1.0,2018-01-13
2523,1.0,2018-01-11
2524,11.0,2018-01-15
2525,20.0,2018-01-31
2526,20.0,2018-01-30
2527,15.0,2018-01-17
2528,9.0,2018-01-23
2529,2.0,2018-01-26
2530,12.0,2018-01-30
2531,2.0,2018-01-22
2532,1.0,2018-01-09
2533,1.0,2018-01-31
2534,1.0,2018-01-10
2535,6.0,2018-01-14
2536,1.0,2018-01-14
2537,1.0,2018-01-16
2538,1.0,2018-01-13
2539,6.0,2018-01-31
2540,16.0,2018-01-31
2541,8.0,2018-01-31
2542,2.0,2018-01-18
2543,1.0,2018-01-14
2544,1.0,2018-01-02
2545,1.0,2018-01-13
2546,2.0,2018-01-25
2547,2.0,2018-01-14
2548,12.0,2018-01-30
2549,31.0,2018-01-30
2550,94.0,2018-01-31
2551,25.0,2018-01-23
2552,1.0,2018-01-17
2553,3.0,2018-01-22
2554,7.0,2018-01-22
2555,8.0,2018-01-27
2556,10.0,2018-01-31
2557,22.0,2018-01-31
2558,24.0,2018-01-30
2559,4.0,2018-01-22
2560,15.0,2018-01-31
2561,1.0,2018-01-06
2562,1.0,2018-01-31
2563,2.0,2018-01-27
2564,2.0,2018-01-18
2565,1.0,2018-01-28
2566,1.0,2018-01-30
2567,1.0,2018-01-06
2568,3.0,2018-01-24
2569,11.0,2018-01-30
2570,18.0,2018-01-31
2571,6.0,2018-01-31
2572,6.0,2018-01-30
2573,3.0,2018-01-26
2574,5.0,2018-01-28
2575,2.0,2018-01-05
2576,3.0,2018-01-28
2577,2.0,2018-01-03
2578,1.0,2018-01-06
2579,2.0,2018-01-19
2580,4.0,2018-01-31
2581,1.0,2018-01-14
2582,1.0,2018-01-15
2583,1.0,2018-01-22
2584,3.0,2018-01-26
2585,4.0,2018-01-31
2586,1.0,2018-01-20
2587,1.0,2018-01-04
2588,1.0,2018-01-31
2589,1.0,2018-01-12
2590,2.0,2018-01-31
2591,1.0,2018-01-31
2592,2.0,2018-01-27
2593,1.0,2018-01-24
2594,3.0,2018-01-25
2595,8.0,2018-01-31
2596,6.0,2018-01-31
2597,9.0,2018-01-31
2598,4.0,2018-01-31
2599,6.0,2018-01-29
2600,4.0,2018-01-30
2601,2.0,2018-01-30
2602,2.0,2018-01-29
2603,1.0,2018-01-27
2604,9.0,2018-01-31
2605,1.0,2018-01-28
2606,1.0,2018-01-24
2607,2.0,2018-01-26
2608,2.0,2018-01-25
2609,1.0,2018-01-31
2610,2.0,2018-01-16
2611,3.0,2018-01-31
2612,3.0,2018-01-26
2613,1.0,2018-01-31
2614,1.0,2018-01-04
2615,7.0,2018-01-30
2616,1.0,2018-01-13
2617,2.0,2018-01-14
2618,1.0,2018-01-29
2619,1.0,2018-01-31
2620,1.0,2018-01-14
2621,1.0,2018-01-31
2622,3.0,2018-01-28
2623,6.0,2018-01-31
2624,3.0,2018-01-31
2625,1.0,2018-01-29
2626,1.0,2018-01-31
2627,1.0,2018-01-09
2628,1.0,2018-01-15
2629,3.0,2018-01-16
2630,2.0,2018-01-23
2631,3.0,2018-01-30
2632,4.0,2018-01-31
2633,4.0,2018-01-29
2634,5.0,2018-01-31
2635,5.0,2018-01-31
2636,2.0,2018-01-31
2637,1.0,2018-01-30
2638,3.0,2018-01-30
2639,1.0,2018-01-09
2640,1.0,2018-01-25
2641,3.0,2018-01-31
2642,9.0,2018-01-24
2643,9.0,2018-01-31
2644,18.0,2018-01-31
2645,15.0,2018-01-28
2646,5.0,2018-01-31
2647,5.0,2018-01-20
2648,15.0,2018-01-31
2649,7.0,2018-01-31
2650,3.0,2018-01-10
2651,1.0,2018-01-09
2652,1.0,2018-01-18
2653,1.0,2018-01-16
2654,2.0,2018-01-13
2655,1.0,2018-01-31
2656,4.0,2018-01-12
2657,1.0,2018-01-25
2658,1.0,2018-01-25
2659,1.0,2018-01-31
2660,1.0,2018-01-30
2661,1.0,2018-01-02
2662,3.0,2018-01-20
2663,1.0,2018-01-26
2664,2.0,2018-01-21
2665,3.0,2018-01-24
2666,1.0,2018-01-17
2667,1.0,2018-01-30
2668,1.0,2018-01-20
2669,1.0,2018-01-09
2670,2.0,2018-01-09
2671,2.0,2018-01-27
2672,1.0,2018-01-12
2673,1.0,2018-01-25
2674,1.0,2018-01-11
2675,2.0,2018-01-28
2676,1.0,2018-01-18
2677,4.0,2018-01-24
2678,4.0,2018-01-30
2679,1.0,2018-01-17
2680,5.0,2018-01-24
2681,1.0,2018-01-03
2682,2.0,2018-01-31
2683,14.0,2018-01-31
2684,22.0,2018-01-31
2685,14.0,2018-01-31
2686,4.0,2018-01-30
2687,1.0,2018-01-17
2688,2.0,2018-01-21
2689,1.0,2018-01-17
2690,1.0,2018-01-08
2691,3.0,2018-01-29
2692,1.0,2018-01-21
2693,4.0,2018-01-24
2694,2.0,2018-01-29
2695,4.0,2018-01-13
2696,1.0,2018-01-21
2697,1.0,2018-01-02
2698,1.0,2018-01-22
2699,1.0,2018-01-04
2700,1.0,2018-01-08
2701,8.0,2018-01-31
2702,42.0,2018-01-31
2703,31.0,2018-01-31
2704,14.0,2018-01-31
2705,7.0,2018-01-31
2706,2.0,2018-01-21
2707,16.0,2018-01-31
2708,124.0,2018-01-31
2709,61.0,2018-01-31
2710,15.0,2018-01-31
2711,28.0,2018-01-31
2712,2.0,2018-01-23
2713,8.0,2018-01-23
2714,5.0,2018-01-22
2715,1.0,2018-01-06
2716,1.0,2018-01-27
2717,2.0,2018-01-30
2718,2.0,2018-01-30
2719,2.0,2018-01-29
2720,2.0,2018-01-16
2721,17.0,2018-01-29
2722,10.0,2018-01-28
2723,7.0,2018-01-31
2724,1.0,2018-01-28
2725,58.0,2018-01-31
2726,54.0,2018-01-31
2727,26.0,2018-01-31
2728,1.0,2018-01-29
2729,1.0,2018-01-25
2730,5.0,2018-01-30
2731,8.0,2018-01-26
2732,4.0,2018-01-31
2733,35.0,2018-01-31
2734,1.0,2018-01-11
2735,1.0,2018-01-08
2736,2.0,2018-01-09
2737,2.0,2018-01-21
2738,8.0,2018-01-21
2739,3.0,2018-01-15
2740,6.0,2018-01-30
2741,4.0,2018-01-30
2742,6.0,2018-01-26
2743,2.0,2018-01-25
2744,2.0,2018-01-31
2745,2.0,2018-01-31
2746,3.0,2018-01-28
2747,2.0,2018-01-22
2748,5.0,2018-01-31
2749,35.0,2018-01-30
2750,52.0,2018-01-30
2751,7.0,2018-01-30
2752,9.0,2018-01-19
2753,9.0,2018-01-31
2754,6.0,2018-01-28
2755,1.0,2018-01-06
2756,1.0,2018-01-22
2757,9.0,2018-01-31
2758,55.0,2018-01-31
2759,47.0,2018-01-31
2760,14.0,2018-01-31
2761,24.0,2018-01-31
2762,3.0,2018-01-23
2763,4.0,2018-01-28
2764,7.0,2018-01-24
2765,7.0,2018-01-31
2766,86.0,2018-01-31
2767,23.0,2018-01-23
2768,9.0,2018-01-23
2769,23.0,2018-01-31
2770,1.0,2018-01-13
2771,1.0,2018-01-29
2772,2.0,2018-01-30
2773,1.0,2018-01-25
2774,1.0,2018-01-27
2775,2.0,2018-01-31
2776,4.0,2018-01-31
2777,4.0,2018-01-31
2778,2.0,2018-01-27
2779,4.0,2018-01-25
2780,7.0,2018-01-24
2781,2.0,2018-01-27
2782,1.0,2018-01-31
2783,1.0,2018-01-29
2784,1.0,2018-01-16
2785,1.0,2018-01-07
2786,2.0,2018-01-09
2787,2.0,2018-01-14
2788,1.0,2018-01-18
2789,7.0,2018-01-24
2790,6.0,2018-01-25
2791,2.0,2018-01-21
2792,10.0,2018-01-31
2793,2.0,2018-01-31
2794,1.0,2018-01-29
2795,1.0,2018-01-31
2796,6.0,2018-01-31
2797,4.0,2018-01-23
2798,1.0,2018-01-26
2799,3.0,2018-01-15
2800,11.0,2018-01-28
2801,2.0,2018-01-22
2802,4.0,2018-01-29
2803,2.0,2018-01-30
2804,16.0,2018-01-27
2805,1.0,2018-01-30
2806,2.0,2018-01-31
2807,5.0,2018-01-31
2808,10.0,2018-01-30
2809,2.0,2018-01-21
2810,10.0,2018-01-24
2811,23.0,2018-01-27
2812,7.0,2018-01-27
2813,3.0,2018-01-23
2814,1.0,2018-01-01
2815,3.0,2018-01-28
2816,12.0,2018-01-23
2817,4.0,2018-01-23
2818,1.0,2018-01-26
2819,6.0,2018-01-28
2820,2.0,2018-01-23
2821,15.0,2018-01-30
2822,1.0,2018-01-26
2823,1.0,2018-01-26
2824,2.0,2018-01-27
2825,3.0,2018-01-28
2826,8.0,2018-01-30
2827,89.0,2018-01-31
2828,95.0,2018-01-31
2829,20.0,2018-01-31
2830,35.0,2018-01-31
2831,2.0,2018-01-27
2832,4.0,2018-01-29
2833,4.0,2018-01-30
2834,1.0,2018-01-17
2835,2.0,2018-01-29
2836,9.0,2018-01-28
2837,1.0,2018-01-21
2838,1.0,2018-01-11
2839,2.0,2018-01-31
2840,2.0,2018-01-30
2841,2.0,2018-01-30
2842,2.0,2018-01-28
2843,2.0,2018-01-14
2844,2.0,2018-01-28
2845,3.0,2018-01-21
2846,1.0,2018-01-26
2847,10.0,2018-01-24
2848,2.0,2018-01-23
2849,2.0,2018-01-30
2850,6.0,2018-01-24
2851,1.0,2018-01-31
2852,1.0,2018-01-31
2853,14.0,2018-01-31
2854,21.0,2018-01-31
2855,6.0,2018-01-23
2856,2.0,2018-01-31
2857,3.0,2018-01-29
2858,1.0,2018-01-21
2859,5.0,2018-01-30
2860,9.0,2018-01-30
2861,1.0,2018-01-02
2862,1.0,2018-01-29
2863,13.0,2018-01-29
2864,8.0,2018-01-31
2865,5.0,2018-01-29
2866,10.0,2018-01-29
2867,5.0,2018-01-26
2868,3.0,2018-01-18
2869,1.0,2018-01-23
2870,1.0,2018-01-23
2871,3.0,2018-01-18
2872,1.0,2018-01-13
2873,4.0,2018-01-28
2874,1.0,2018-01-23
2875,2.0,2018-01-21
2876,1.0,2018-01-25
2877,37.0,2018-01-31
2878,67.0,2018-01-31
2879,20.0,2018-01-31
2880,8.0,2018-01-29
2881,1.0,2018-01-07
2882,1.0,2018-01-13
2883,1.0,2018-01-12
2884,21.0,2018-01-31
2885,17.0,2018-01-31
2886,13.0,2018-01-31
2887,1.0,2018-01-28
2888,3.0,2018-01-31
2889,1.0,2018-01-09
2890,10.0,2018-01-31
2891,10.0,2018-01-23
2892,3.0,2018-01-16
2893,1.0,2018-01-15
2894,1.0,2018-01-03
2895,4.0,2018-01-30
2896,8.0,2018-01-31
2897,3.0,2018-01-22
2898,1.0,2018-01-06
2899,1.0,2018-01-04
2900,1.0,2018-01-27
2901,3.0,2018-01-31
2902,1.0,2018-01-09
2903,2.0,2018-01-22
2904,1.0,2018-01-15
2905,2.0,2018-01-19
2906,1.0,2018-01-07
2907,2.0,2018-01-31
2908,27.0,2018-01-31
2909,49.0,2018-01-31
2910,4.0,2018-01-24
2911,3.0,2018-01-30
2912,1.0,2018-01-06
2913,1.0,2018-01-01
2914,1.0,2018-01-14
2915,1.0,2018-01-31
2916,2.0,2018-01-30
2917,2.0,2018-01-24
2918,4.0,2018-01-20
2919,29.0,2018-01-31
2920,23.0,2018-01-30
2921,1.0,2018-01-22
2922,3.0,2018-01-13
2923,45.0,2018-01-31
2924,45.0,2018-01-31
2925,7.0,2018-01-23
2926,15.0,2018-01-31
2927,2.0,2018-01-25
2928,1.0,2018-01-24
2929,1.0,2018-01-08
2930,1.0,2018-01-25
2931,1.0,2018-01-02
2932,1.0,2018-01-25
2933,1.0,2018-01-31
2934,1.0,2018-01-28
2935,1.0,2018-01-16
2936,2.0,2018-01-31
2937,3.0,2018-01-31
2938,3.0,2018-01-31
2939,6.0,2018-01-31
2940,9.0,2018-01-31
2941,2.0,2018-01-31
2942,1.0,2018-01-10
2943,4.0,2018-01-17
2944,5.0,2018-01-31
2945,3.0,2018-01-12
2946,6.0,2018-01-21
2947,2.0,2018-01-22
2948,1.0,2018-01-16
2949,1.0,2018-01-24
2950,2.0,2018-01-30
2951,12.0,2018-01-30
2952,10.0,2018-01-30
2953,3.0,2018-01-19
2954,20.0,2018-01-31
2955,2.0,2018-01-21
2956,1.0,2018-01-24
2957,1.0,2018-01-17
2958,1.0,2018-01-19
2959,2.0,2018-01-22
2960,1.0,2018-01-29
2961,1.0,2018-01-31
2962,5.0,2018-01-31
2963,9.0,2018-01-31
2964,7.0,2018-01-30
2965,7.0,2018-01-31
2966,3.0,2018-01-26
2967,3.0,2018-01-08
2968,1.0,2018-01-30
2969,2.0,2018-01-11
2970,9.0,2018-01-31
2971,1.0,2018-01-26
2972,8.0,2018-01-30
2973,1.0,2018-01-24
2974,2.0,2018-01-10
2975,1.0,2018-01-17
2976,3.0,2018-01-31
2977,4.0,2018-01-27
2978,5.0,2018-01-13
2979,4.0,2018-01-30
2980,4.0,2018-01-26
2981,1.0,2018-01-24
2982,2.0,2018-01-26
2983,5.0,2018-01-31
2984,3.0,2018-01-26
2985,5.0,2018-01-26
2986,9.0,2018-01-31
2987,7.0,2018-01-26
2988,5.0,2018-01-31
2989,2.0,2018-01-05
2990,14.0,2018-01-31
2991,105.0,2018-01-31
2992,148.0,2018-01-31
2993,59.0,2018-01-31
2994,17.0,2018-01-31
2995,1.0,2018-01-21
2996,4.0,2018-01-30
2997,4.0,2018-01-30
2998,6.0,2018-01-21
2999,8.0,2018-01-31
3000,5.0,2018-01-31
3001,16.0,2018-01-30
3002,11.0,2018-01-31
3003,6.0,2018-01-28
3004,9.0,2018-01-31
3005,5.0,2018-01-21
3006,3.0,2018-01-28
3007,1.0,2018-01-30
3008,2.0,2018-01-22
3009,1.0,2018-01-29
3010,1.0,2018-01-22
3011,1.0,2018-01-23
3012,1.0,2018-01-26
3013,1.0,2018-01-26
3014,1.0,2018-01-21
3015,1.0,2018-01-17
3016,1.0,2018-01-31
3017,1.0,2018-01-07
3018,6.0,2018-01-31
3019,1.0,2018-01-28
3020,2.0,2018-01-20
3021,1.0,2018-01-05
3022,1.0,2018-01-14
3023,3.0,2018-01-19
3024,3.0,2018-01-30
3025,1.0,2018-01-30
3026,3.0,2018-01-16
3027,2.0,2018-01-22
3028,3.0,2018-01-16
3029,1.0,2018-01-30
3030,9.0,2018-01-29
3031,99.0,2018-01-31
3032,86.0,2018-01-31
3033,31.0,2018-01-31
3034,45.0,2018-01-29
3035,2.0,2018-01-25
3036,1.0,2018-01-19
3037,3.0,2018-01-31
3038,2.0,2018-01-25
3039,4.0,2018-01-28
3040,14.0,2018-01-28
3041,10.0,2018-01-28
3042,5.0,2018-01-26
3043,6.0,2018-01-31
3044,2.0,2018-01-31
3045,4.0,2018-01-28
3046,3.0,2018-01-19
3047,6.0,2018-01-24
3048,2.0,2018-01-20
3049,2.0,2018-01-23
3050,2.0,2018-01-16
3051,4.0,2018-01-14
3052,3.0,2018-01-25
3053,1.0,2018-01-23
3054,12.0,2018-01-17
3055,59.0,2018-01-31
3056,199.0,2018-01-31
3057,30.0,2018-01-31
3058,5.0,2018-01-29
3059,9.0,2018-01-31
3060,10.0,2018-01-31
3061,4.0,2018-01-28
3062,11.0,2018-01-31
3063,2.0,2018-01-24
3064,1.0,2018-01-04
3065,48.0,2018-01-31
3066,1.0,2018-01-27
3067,3.0,2018-01-31
3068,3.0,2018-01-09
3069,4.0,2018-01-22
3070,8.0,2018-01-29
3071,12.0,2018-01-31
3072,3.0,2018-01-29
3073,1.0,2018-01-30
3074,1.0,2018-01-06
3075,2.0,2018-01-25
3076,1.0,2018-01-05
3077,2.0,2018-01-31
3078,1.0,2018-01-02
3079,3.0,2018-01-30
3080,2.0,2018-01-21
3081,1.0,2018-01-12
3082,3.0,2018-01-28
3083,3.0,2018-01-25
3084,1.0,2018-01-30
3085,1.0,2018-01-09
3086,1.0,2018-01-11
3087,1.0,2018-01-19
3088,15.0,2018-01-17
3089,13.0,2018-01-31
3090,5.0,2018-01-30
3091,1.0,2018-01-04
3092,1.0,2018-01-02
3093,1.0,2018-01-11
3094,8.0,2018-01-29
3095,12.0,2018-01-29
3096,3.0,2018-01-31
3097,2.0,2018-01-24
3098,1.0,2018-01-03
3099,6.0,2018-01-21
3100,26.0,2018-01-31
3101,10.0,2018-01-31
3102,1.0,2018-01-16
3103,1.0,2018-01-05
3104,1.0,2018-01-08
3105,3.0,2018-01-08
3106,3.0,2018-01-22
3107,1.0,2018-01-13
3108,3.0,2018-01-30
3109,13.0,2018-01-31
3110,4.0,2018-01-23
3111,3.0,2018-01-31
3112,26.0,2018-01-31
3113,3.0,2018-01-31
3114,4.0,2018-01-31
3115,2.0,2018-01-27
3116,2.0,2018-01-29
3117,1.0,2018-01-28
3118,3.0,2018-01-28
3119,2.0,2018-01-15
3120,1.0,2018-01-18
3121,1.0,2018-01-07
3122,3.0,2018-01-30
3123,1.0,2018-01-20
3124,3.0,2018-01-26
3125,6.0,2018-01-31
3126,2.0,2018-01-27
3127,2.0,2018-01-08
3128,14.0,2018-01-31
3129,1.0,2018-01-30
3130,2.0,2018-01-07
3131,1.0,2018-01-20
3132,3.0,2018-01-30
3133,3.0,2018-01-24
3134,1.0,2018-01-09
3135,2.0,2018-01-28
3136,6.0,2018-01-25
3137,7.0,2018-01-25
3138,3.0,2018-01-31
3139,1.0,2018-01-01
3140,1.0,2018-01-31
3141,2.0,2018-01-31
3142,2.0,2018-01-18
3143,3.0,2018-01-31
3144,1.0,2018-01-18
3145,7.0,2018-01-24
3146,5.0,2018-01-18
3147,1.0,2018-01-30
3148,1.0,2018-01-18
3149,1.0,2018-01-31
3150,4.0,2018-01-29
3151,2.0,2018-01-22
3152,1.0,2018-01-12
3153,2.0,2018-01-31
3154,3.0,2018-01-10
3155,10.0,2018-01-29
3156,9.0,2018-01-30
3157,20.0,2018-01-31
3158,25.0,2018-01-30
3159,55.0,2018-01-31
3160,81.0,2018-01-31
3161,38.0,2018-01-31
3162,58.0,2018-01-31
3163,5.0,2018-01-31
3164,1.0,2018-01-01
3165,4.0,2018-01-15
3166,1.0,2018-01-28
3167,1.0,2018-01-30
3168,10.0,2018-01-31
3169,1.0,2018-01-28
3170,1.0,2018-01-28
3171,1.0,2018-01-01
3172,1.0,2018-01-09
3173,4.0,2018-01-26
3174,5.0,2018-01-30
3175,1.0,2018-01-02
3176,4.0,2018-01-31
3177,4.0,2018-01-17
3178,4.0,2018-01-19
3179,2.0,2018-01-16
3180,2.0,2018-01-30
3181,1.0,2018-01-30
3182,1.0,2018-01-13
3183,1.0,2018-01-18
3184,25.0,2018-01-29
3185,29.0,2018-01-30
3186,6.0,2018-01-31
3187,10.0,2018-01-29
3188,2.0,2018-01-28
3189,17.0,2018-01-31
3190,36.0,2018-01-31
3191,22.0,2018-01-31
3192,4.0,2018-01-31
3193,3.0,2018-01-29
3194,2.0,2018-01-21
3195,2.0,2018-01-31
3196,2.0,2018-01-14
3197,2.0,2018-01-18
3198,7.0,2018-01-25
3199,31.0,2018-01-31
3200,19.0,2018-01-28
3201,17.0,2018-01-31
3202,2.0,2018-01-03
3203,14.0,2018-01-22
3204,17.0,2018-01-30
3205,2.0,2018-01-15
3206,2.0,2018-01-22
3207,1.0,2018-01-29
3208,2.0,2018-01-29
3209,2.0,2018-01-24
3210,2.0,2018-01-30
3211,1.0,2018-01-26
3212,7.0,2018-01-17
3213,3.0,2018-01-15
3214,3.0,2018-01-30
3215,1.0,2018-01-07
3216,1.0,2018-01-25
3217,1.0,2018-01-30
3218,1.0,2018-01-28
3219,1.0,2018-01-07
3220,1.0,2018-01-07
3221,1.0,2018-01-07
3222,1.0,2018-01-08
3223,1.0,2018-01-31
3224,1.0,2018-01-14
3225,1.0,2018-01-06
3226,23.0,2018-01-31
3227,41.0,2018-01-31
3228,15.0,2018-01-31
3229,1.0,2018-01-13
3230,1.0,2018-01-27
3231,1.0,2018-01-17
3232,1.0,2018-01-20
3233,3.0,2018-01-20
3234,7.0,2018-01-25
3235,64.0,2018-01-31
3236,57.0,2018-01-26
3237,36.0,2018-01-31
3238,42.0,2018-01-31
3239,2.0,2018-01-10
3240,1.0,2018-01-07
3241,1.0,2018-01-07
3242,2.0,2018-01-13
3243,10.0,2018-01-13
3244,3.0,2018-01-31
3245,15.0,2018-01-31
3246,6.0,2018-01-31
3247,3.0,2018-01-18
3248,6.0,2018-01-31
3249,4.0,2018-01-30
3250,13.0,2018-01-25
3251,11.0,2018-01-31
3252,6.0,2018-01-29
3253,4.0,2018-01-17
3254,2.0,2018-01-23
3255,1.0,2018-01-17
3256,4.0,2018-01-22
3257,15.0,2018-01-31
3258,15.0,2018-01-31
3259,8.0,2018-01-31
3260,10.0,2018-01-18
3261,11.0,2018-01-22
3262,4.0,2018-01-22
3263,5.0,2018-01-30
3264,1.0,2018-01-05
3265,3.0,2018-01-27
3266,24.0,2018-01-31
3267,8.0,2018-01-31
3268,1.0,2018-01-31
3269,3.0,2018-01-30
3270,1.0,2018-01-14
3271,1.0,2018-01-14
3272,2.0,2018-01-16
3273,1.0,2018-01-14
3274,4.0,2018-01-25
3275,4.0,2018-01-25
3276,1.0,2018-01-23
3277,1.0,2018-01-23
3278,2.0,2018-01-23
3279,1.0,2018-01-03
3280,1.0,2018-01-04
3281,1.0,2018-01-04
3282,1.0,2018-01-11
3283,2.0,2018-01-25
3284,3.0,2018-01-25
3285,1.0,2018-01-17
3286,1.0,2018-01-07
3287,4.0,2018-01-31
3288,5.0,2018-01-31
3289,2.0,2018-01-18
3290,2.0,2018-01-18
3291,1.0,2018-01-27
3292,4.0,2018-01-28
3293,1.0,2018-01-11
3294,3.0,2018-01-16
3295,16.0,2018-01-31
3296,16.0,2018-01-31
3297,10.0,2018-01-30
3298,3.0,2018-01-16
3299,2.0,2018-01-23
3300,3.0,2018-01-29
3301,8.0,2018-01-27
3302,6.0,2018-01-18
3303,6.0,2018-01-16
3304,6.0,2018-01-16
3305,10.0,2018-01-28
3306,4.0,2018-01-16
3307,8.0,2018-01-29
3308,4.0,2018-01-25
3309,1.0,2018-01-15
3310,2.0,2018-01-13
3311,4.0,2018-01-31
3312,3.0,2018-01-31
3313,14.0,2018-01-31
3314,8.0,2018-01-31
3315,5.0,2018-01-28
3316,2.0,2018-01-25
3317,1.0,2018-01-24
3318,1.0,2018-01-11
3319,2.0,2018-01-30
3320,1.0,2018-01-31
3321,2.0,2018-01-27
3322,18.0,2018-01-30
3323,33.0,2018-01-31
3324,15.0,2018-01-31
3325,4.0,2018-01-29
3326,1.0,2018-01-20
3327,1.0,2018-01-31
3328,5.0,2018-01-28
3329,1.0,2018-01-26
3330,1.0,2018-01-25
3331,1.0,2018-01-20
3332,1.0,2018-01-24
3333,3.0,2018-01-31
3334,3.0,2018-01-24
3335,1.0,2018-01-27
3336,2.0,2018-01-23
3337,1.0,2018-01-18
3338,6.0,2018-01-26
3339,3.0,2018-01-20
3340,3.0,2018-01-11
3341,5.0,2018-01-30
3342,2.0,2018-01-30
3343,1.0,2018-01-24
3344,1.0,2018-01-24
3345,1.0,2018-01-30
3346,2.0,2018-01-16
3347,13.0,2018-01-23
3348,20.0,2018-01-30
3349,5.0,2018-01-19
3350,1.0,2018-01-16
3351,1.0,2018-01-28
3352,2.0,2018-01-29
3353,1.0,2018-01-30
3354,1.0,2018-01-30
3355,3.0,2018-01-30
3356,1.0,2018-01-31
3357,5.0,2018-01-29
3358,3.0,2018-01-30
3359,1.0,2018-01-28
3360,1.0,2018-01-25
